run_id,work_order_id,plant_id,line_id,machine_id,product_id,feature_date,setup_minutes,speed_ratio,operator_experience_years,operator_fairness_group,product_complexity_score,supplier_quality_score,avg_temperature_24h,max_vibration_24h,line_utilization_rate,previous_defect_rate_7d,defect_rate,high_defect_risk,dominant_defect_code,split
RUN-000013,WO-000007,P02,L03,MCH-018,PRD-023,2025-08-01,30.93,1.1717,1.6,G3_junior,5.0,85.8,53.449,3.309,0.783,0.0514,0.06,1,SCRATCH,train
RUN-000014,WO-000007,P02,L03,MCH-017,PRD-023,2025-08-01,33.62,1.0534,15.7,G1_senior,5.0,85.8,52.269,3.713,0.709,0.0302,0.01,0,MISSING_PART,train
RUN-000015,WO-000008,P02,L03,MCH-018,PRD-023,2025-08-01,27.93,1.15,1.0,G3_junior,5.0,85.8,53.449,3.309,1.048,0.1074,0.064,1,CONTAMINATION,train
RUN-000016,WO-000008,P02,L03,MCH-015,PRD-023,2025-08-01,29.44,0.8484,6.1,G2_mid,5.0,85.8,51.555,3.445,1.02,0.044,0.035,0,CONTAMINATION,train
RUN-000017,WO-000009,P02,L03,MCH-015,PRD-023,2025-08-01,23.3,0.8739,5.8,G2_mid,5.0,85.8,51.555,3.445,0.736,0,0.02,0,SURFACE_DENT,train
RUN-000018,WO-000009,P02,L03,MCH-018,PRD-023,2025-08-01,23.86,0.884,1.4,G3_junior,5.0,85.8,53.449,3.309,1.074,0.0409,0.0375,0,SCRATCH,train
RUN-000019,WO-000010,P02,L04,MCH-019,PRD-040,2025-08-01,34.89,0.8421,11.2,G1_senior,8.4,82.7,54.725,4.032,0.69,0.0797,0.0625,1,MISSING_PART,train
RUN-000020,WO-000010,P02,L04,MCH-023,PRD-040,2025-08-01,35.99,1.1264,2.3,G3_junior,8.4,82.7,49.536,2.499,0.829,0.0639,0.096,1,SCRATCH,train
RUN-000021,WO-000011,P02,L04,MCH-021,PRD-040,2025-08-01,18.6,1.0544,0,G0_unknown,8.4,82.7,52.501,2.823,0.768,0.1158,0.112,1,SURFACE_DENT,train
RUN-000022,WO-000011,P02,L04,MCH-022,PRD-040,2025-08-01,19.22,0.905,7.1,G2_mid,8.4,82.7,50.972,2.893,1.096,0.086,0.1,1,SCRATCH,train
RUN-000023,WO-000012,P02,L04,MCH-023,PRD-040,2025-08-01,25.11,1.046,2.3,G3_junior,8.4,82.7,49.536,2.499,1.096,0.1334,0.12,1,NONE,train
RUN-000024,WO-000012,P02,L04,MCH-019,PRD-040,2025-08-01,26.49,1.0943,0.7,G3_junior,8.4,82.7,54.725,4.032,0.839,0.1249,0.1,1,SURFACE_DENT,train
RUN-000041,WO-000021,P02,L03,MCH-014,PRD-040,2025-08-02,25.11,1.0352,2.7,G3_junior,8.4,82.7,51.309,3.446,0.95,0.1615,0.12,1,CONTAMINATION,train
RUN-000042,WO-000021,P02,L03,MCH-013,PRD-040,2025-08-02,26.03,0.9594,0.2,G3_junior,8.4,82.7,47.56,3.026,1.022,0.1087,0.115,1,SCRATCH,train
RUN-000043,WO-000022,P02,L03,MCH-013,PRD-040,2025-08-02,38.46,1.1517,1.8,G3_junior,8.4,82.7,47.56,3.026,0.845,0.1197,0.104,1,SURFACE_DENT,train
RUN-000044,WO-000022,P02,L03,MCH-015,PRD-040,2025-08-02,35.88,0.8736,0.8,G3_junior,8.4,82.7,46.154,3.53,0.91,0.1236,0.11,1,SCRATCH,train
