date,product_id,product_family,actual_order_quantity,promotion_flag,holiday_flag,season_index,price_index
2025-08-01,PRD-036,connector,0,0,0,1.0,0.9884
2025-08-01,PRD-077,control_board,0,0,0,1.0,1.0668
2025-08-01,PRD-032,connector,13254,0,0,1.0,1.0655
2025-08-01,PRD-060,connector,0,0,0,1.0,1.0363
2025-08-01,PRD-071,connector,0,0,0,1.0,0.9589
2025-08-01,PRD-075,industrial_switch,0,0,0,1.0,0.9549
2025-08-01,PRD-011,industrial_switch,0,0,0,1.0,1.0405
2025-08-01,PRD-055,power_unit,0,0,0,1.0,0.9495
2025-08-01,PRD-068,connector,1326,0,0,1.0,1.0573
2025-08-01,PRD-013,industrial_switch,0,0,0,1.0,1.0516
2025-08-01,PRD-041,control_board,0,0,0,1.0,1.0583
2025-08-01,PRD-047,metal_housing,5548,0,0,1.0,0.9457
2025-08-01,PRD-002,sensor_module,0,0,0,1.0,1.0203
2025-08-01,PRD-078,connector,0,0,0,1.0,0.9551
2025-08-01,PRD-010,power_unit,3937,0,0,1.0,1.0128
2025-08-01,PRD-024,connector,4913,0,0,1.0,0.9965
2025-08-01,PRD-054,power_unit,0,0,0,1.0,0.9479
2025-08-01,PRD-073,connector,0,0,0,1.0,1.0657
2025-08-01,PRD-045,control_board,773,0,0,1.0,1.0533
2025-08-01,PRD-065,connector,0,0,0,1.0,1.0668
2025-08-02,PRD-012,connector,0,0,0,1.0031,1.0015
2025-08-02,PRD-059,control_board,0,0,0,1.0031,0.9541
2025-08-02,PRD-050,control_board,0,0,0,1.0031,0.953
2025-08-02,PRD-034,power_unit,0,0,0,1.0031,0.959
2025-08-02,PRD-003,power_unit,0,0,0,1.0031,1.039
2025-08-02,PRD-020,control_board,0,0,0,1.0031,1.0067
2025-08-02,PRD-038,connector,0,0,0,1.0031,0.9722
2025-08-02,PRD-039,industrial_switch,0,0,0,1.0031,1.0265
2025-08-02,PRD-071,connector,0,0,0,1.0031,0.9394
2025-08-02,PRD-045,control_board,0,0,0,1.0031,1.0512
2025-08-02,PRD-076,metal_housing,2579,0,0,1.0031,1.0163
2025-08-02,PRD-063,industrial_switch,2025,0,0,1.0031,0.9349
2025-08-02,PRD-070,industrial_switch,0,0,0,1.0031,1.025
2025-08-02,PRD-040,control_board,3226,0,0,1.0031,0.9522
2025-08-02,PRD-024,connector,0,0,0,1.0031,0.981
2025-08-02,PRD-042,connector,0,0,0,1.0031,0.9464
2025-08-02,PRD-004,control_board,0,0,0,1.0031,0.9387
2025-08-02,PRD-053,industrial_switch,0,0,0,1.0031,1.0295
2025-08-02,PRD-009,power_unit,0,0,0,1.0031,0.9595
2025-08-02,PRD-055,power_unit,0,0,0,1.0031,0.9403
2025-08-03,PRD-018,sensor_module,0,0,0,1.0062,1.0328
2025-08-03,PRD-007,control_board,0,0,0,1.0062,0.9407
2025-08-03,PRD-078,connector,0,0,0,1.0062,0.9335
2025-08-03,PRD-056,industrial_switch,0,0,0,1.0062,1.0237
2025-08-03,PRD-022,industrial_switch,0,0,0,1.0062,1.0226
2025-08-03,PRD-041,control_board,811,0,0,1.0062,0.9816
2025-08-03,PRD-013,industrial_switch,0,0,0,1.0062,0.9854
2025-08-03,PRD-029,connector,0,0,0,1.0062,1.0309
2025-08-03,PRD-040,control_board,0,0,0,1.0062,0.9826
2025-08-03,PRD-044,sensor_module,7759,0,0,1.0062,1.041
2025-08-03,PRD-001,sensor_module,0,1,0,1.0062,1.0048
2025-08-03,PRD-006,sensor_module,0,0,0,1.0062,1.0544
2025-08-03,PRD-067,sensor_module,0,0,0,1.0062,1.0168
2025-08-03,PRD-002,sensor_module,0,0,0,1.0062,1.0286
2025-08-03,PRD-052,metal_housing,0,0,0,1.0062,0.9708
2025-08-03,PRD-065,connector,0,0,0,1.0062,1.0276
2025-08-03,PRD-035,sensor_module,0,0,0,1.0062,0.9643
2025-08-03,PRD-042,connector,2302,0,0,1.0062,0.9986
2025-08-03,PRD-021,power_unit,0,0,0,1.0062,1.0619
2025-08-03,PRD-064,power_unit,0,0,0,1.0062,1.055
2025-08-04,PRD-042,connector,0,0,0,1.0093,1.0046
2025-08-04,PRD-012,connector,0,0,0,1.0093,0.9636
2025-08-04,PRD-032,connector,1751,0,0,1.0093,0.998
2025-08-04,PRD-040,control_board,0,0,0,1.0093,0.9329
2025-08-04,PRD-041,control_board,4399,0,0,1.0093,0.9343
2025-08-04,PRD-050,control_board,0,0,0,1.0093,1.0253
2025-08-04,PRD-004,control_board,3296,0,0,1.0093,1.0436
2025-08-04,PRD-075,industrial_switch,0,0,0,1.0093,0.9326
2025-08-04,PRD-069,sensor_module,4994,0,0,1.0093,1.0155
2025-08-04,PRD-036,connector,5347,0,0,1.0093,0.9689
2025-08-04,PRD-013,industrial_switch,0,0,0,1.0093,0.9726
2025-08-04,PRD-048,power_unit,0,0,0,1.0093,1.0363
2025-08-04,PRD-064,power_unit,7023,0,0,1.0093,0.9824
